,0,precio,combustible,CV,km,lugar,año,link
2294,Volvo XC40,30.990 €, D3,  Diesel,                              Alava             ,                                  2018             ,                 31.800 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc40-d3-en-alava.htm?id=6476617
2295,Volkswagen Taigo,27.390 €, 1.5 TSI R-Line DSG 110kW,  Gasolina,                              Alicante             ,                                  2022             ,                 1 km             ,https://www.coches.com/km0/seminuevo-volkswagen-taigo-15-tsi-r-line-dsg-110kw-en-alicante.htm?id=6474509
2296,Volkswagen Taigo,22.750 €, 1.0 TSI Life DSG 81kW,  Gasolina,                              Alicante             ,                                  2022             ,                 1 km             ,https://www.coches.com/km0/seminuevo-volkswagen-taigo-10-tsi-life-dsg-81kw-en-alicante.htm?id=6474505
2297,Ford Fiesta,14.080 €, 1.0 EcoBoost S/S ST Line 140,  Gasolina,                              Madrid             ,                                  2019             ,                 413.260 km             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-10-ecoboost-ss-st-line-140-en-madrid.htm?id=6471677
2298,Toyota Avensis,10.990 €, 150D Advance,  Diesel,                              Madrid             ,                                  2022             ,                 114.654 km             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-madrid.htm?id=6471459
2299,Chevrolet Camaro,8.500 €, 3.8 Coupé,  Gasolina,"                              Rioja, La             ",                                  1999             ,                 128.873 km             ,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-camaro-38-coupe-en-rioja+la.htm?id=6469747
2300,Renault Express,16.450 €, 1.5 Blue dCi Confort 55kW,  Diesel,                              Pontevedra             ,                                  2021             ,                 20 km             ,https://www.coches.com/km0/seminuevo-renault-express-15-blue-dci-confort-55kw-en-pontevedra.htm?id=6469587
2301,Volkswagen Jetta,10.700 €, 1.4 TSI Sport,  Gasolina,                              Madrid             ,                                  2012             ,                 109.081 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-jetta-14-tsi-sport-en-madrid.htm?id=6467961
2302,Nissan Note,6.800 €, 1.5dCi Acenta,  Diesel,                              Murcia             ,                                  2013             ,                 148.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-note-15dci-acenta-en-murcia.htm?id=6467711
2303,Audi A3,26.910 €, Sportback 35TDI S line S tronic,  Diesel,                              Valencia             ,                                  2020             ,                 20.228 km             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sportback-35tdi-s-line-s-tronic-en-valencia.htm?id=6467565
2304,Kia Rio,11.500 €, 1.2 DPi Concept 84,  Gasolina,                              Burgos             ,                                  2022             ,                 5 km             ,https://www.coches.com/km0/seminuevo-kia-rio-12-dpi-concept-84-en-burgos.htm?id=6462745
2305,Volkswagen Golf,24.700 €, 2.0TDI Life DSG 110kW,  Diesel,                              Malaga             ,                                  2020             ,                 26.227 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20tdi-life-dsg-110kw-en-malaga.htm?id=6458748
2306,Opel Mokka,12.100 €, 1.4T S&S Selective 4x4,  Gasolina,                              Madrid             ,                                  2013             ,                 91.280 km             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x4-en-madrid.htm?id=6458542
2307,Cadillac BLS,5.900 €, 1.9D Elegance,  Diesel,                              Madrid             ,                                  2006             ,                 110.855 km             ,https://www.coches.com/coches-segunda-mano/ocasion-cadillac-bls-19d-elegance-en-madrid.htm?id=6458480
2308,Mg HS,26.990 €,e 1.5T-GDI Comfort,  Híbrido,                              Burgos             ,                                  2022             ,                 6 km             ,https://www.coches.com/km0/seminuevo-mg-hs-e-15t-gdi-comfort-en-burgos.htm?id=6455754
2309,Seat Ateca,18.900 €, 1.5 EcoTSI S&S Style,  Gasolina,                              Madrid             ,                                  2019             ,                 38.559 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-en-madrid.htm?id=6453054
2310,Peugeot Partner,4.980 €, Furgón 1.6HDI Confort L1,  Diesel,                              Barcelona             ,                                  2014             ,                 175.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16hdi-confort-l1-en-barcelona.htm?id=6451730
2311,Ford Focus,19.990 €, 2.0 RS 200,  Gasolina,                              Vizcaya             ,                                  2004             ,                 178.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-20-rs-200-en-vizcaya.htm?id=6450768
2312,Peugeot 3008,9.900 €, 1.6 VTi Style,  Gasolina,                              Barcelona             ,                                  2014             ,                 110.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-16-vti-style-en-barcelona.htm?id=6450068
2313,Audi A3,15.290 €, 1.8 TFSI Ambition,  Gasolina,                              Madrid             ,                                  2013             ,                 101.960 km             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-18-tfsi-ambition-en-madrid.htm?id=6448888
2314,Bmw Serie 6,49.900 €,M6A Gran Coupé,  Gasolina,                              Madrid             ,                                  2015             ,                 82.393 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-m6a-gran-coupe-en-madrid.htm?id=6446849
2315,Seat Ibiza,10.800 €, 1.2 TSI Style,  Gasolina,                              Granada             ,                                  2016             ,                 57.349 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-12-tsi-style-en-granada.htm?id=6444877
2316,Citroen C4,11.990 €, Picasso 1.6BlueHDI S&S Business 120,  Diesel,                              Sevilla             ,                                  2015             ,                 43.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16bluehdi-s_s-business-120-en-sevilla.htm?id=6443743
2317,Mitsubishi Montero,5.500 €, iO 1.8 GDI Plus,  Gasolina,                              Girona             ,                                  2000             ,                 228.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-io-18-gdi-plus-en-girona.htm?id=6434037
2318,Peugeot 307,2.850 €, Break 1.6 16v X-Line,  Gasolina,                              Madrid             ,                                  2005             ,                 290.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-break-16-16v-x-line-en-madrid.htm?id=6428889
2319,Bmw X4,53.900 €, M40i,  Gasolina,                              Albacete             ,                                  2020             ,                 64.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x4-m40i-en-albacete.htm?id=6427921
2320,                 Mercedes Clase CLA Shooting Brake             ,35.500 €, Diesel, 150 cv,                 27.000 km             ,                  Valencia             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-shooting-brake-200d-8g-dct-en-valencia.htm?id=6424631
2321,                 Smart Forfour  EQ             ,12.500 €, Eléctrico, 82 cv,                 33.100 km             ,                  Madrid             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-madrid.htm?id=6418617
2322,                 Ford Ranger  2.2TDCI DCb. XLT             ,14.490 €, Diesel, 150 cv,                 200.000 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-22tdci-dcb-xlt-4x4-en-madrid.htm?id=6418517
2323,                 Volkswagen Golf  2.0 TSI GTI 169kW             ,22.900 €, Gasolina, 230 cv,                 80.000 km             ,                  Salamanca             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-169kw-en-salamanca.htm?id=6418393
2324,                 Mercedes Vito  Furgón 116CDI             ,14.900 €, Diesel, 163 cv,                 156.000 km             ,                  Leon             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-vito-furgon-116cdi-compacta-en-leon.htm?id=6413653
2325,                 Mazda Mazda3  2.0 Style 120             ,12.500 €, Gasolina, 120 cv,                 94.007 km             ,                  Madrid             ,                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda3-20-style-120-en-madrid.htm?id=6408947
2326,                 Mercedes Clase CLA 200CDI             ,17.550 €, Diesel, 136 cv,                 118.193 km             ,                  Madrid             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200cdi-en-madrid.htm?id=6406349
2327,                 Kia Sorento  1.6 T-GDi HEV Drive             ,40.000 €, Híbrido, 233 cv,                 9.700 km             ,                  Illes Balears             ,                  2020             ,https://www.coches.com/km0/seminuevo-kia-sorento-16-t-gdi-hev-drive-4x2-en-illes+balears.htm?id=6388685
2328,                 Volkswagen Golf  2.0 TSI GTI 169kW             ,22.500 €, Gasolina, 230 cv,                 85.000 km             ,                  Salamanca             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-169kw-en-salamanca.htm?id=6388683
2329,                 Mercedes Clase E 300 9G-Tronic             ,33.190 €, Gasolina, 245 cv,                 28.589 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-300-9g-tronic-en-madrid.htm?id=6384833
2330,                 Kia Soul e- Drive Long Range             ,24.990 €, Eléctrico, 204 cv,                 6.500 km             ,                  Murcia             ,                  2021             ,https://www.coches.com/km0/seminuevo-kia-soul-e--drive-long-range-en-murcia.htm?id=6383975
2331,                 Volkswagen Polo  1.0 TSI Life 70kW             ,17.500 €, Gasolina, 95 cv,                 1 km             ,                  Alicante             ,                  2022             ,https://www.coches.com/km0/seminuevo-volkswagen-polo-10-tsi-life-70kw-en-alicante.htm?id=6379651
2332,                 Mercedes Clase CLA Shooting Brake             ,30.990 €, Gasolina, 136 cv,                 1.510 km             ,                  Jaen             ,                  2020             ,https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-shooting-brake-180-en-jaen.htm?id=6379521
2333,                 Hyundai Santa Fe Grand  2.2CRDi Style             ,18.900 €, Diesel, 200 cv,                 93.784 km             ,                  Granada             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-grand--22crdi-style-4x4-aut-200-en-granada.htm?id=6377533
2334,                 Volkswagen Eos  2.0 TSI             ,7.490 €, Gasolina, 200 cv,                 146.840 km             ,                  Madrid             ,                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-eos-20-tsi-en-madrid.htm?id=6372439
2335,                 Volkswagen Polo  1.0 TSI Advance             ,13.490 €, Gasolina, 95 cv,                 36.000 km             ,                  Tenerife             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-10-tsi-advance-70kw-en-tenerife.htm?id=6369399
2336,                 Citroen C4  1.6 BlueHDi Feel 100             ,9.690 €, Diesel, 99 cv,                 37.130 km             ,                  Madrid             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-feel-100-en-madrid.htm?id=6366953
2337,                 Mercedes Clase A 180d             ,24.900 €, Diesel, 116 cv,                 21.371 km             ,                  Sevilla             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-en-sevilla.htm?id=6364523
2338,                 Hyundai Bayon  1.2 MPI Essence             ,14.700 €, Gasolina, 84 cv,                 5 km             ,                  Avila             ,                  2021             ,https://www.coches.com/km0/seminuevo-hyundai-bayon-12-mpi-essence-en-avila.htm?id=6364261
2339,                 Seat Alhambra  2.0TDI CR Start&Stop             ,17.250 €, Diesel, 177 cv,                 67.694 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-alhambra-20tdi-cr-start_stop-style-177-en-madrid.htm?id=6360627
2340,Jeep Compass,23.900 €, 1.3 Gse T4 Longitude 4x2 130,  Gasolina,                              Avila             ,                                  2021             ,                 5 km             ,https://www.coches.com/km0/seminuevo-jeep-compass-13-gse-t4-longitude-4x2-130-en-avila.htm?id=6355811
2341,Fiat 500,16.500 €,e 70Kw Action,  Eléctrico,                              Avila             ,                                  2021             ,                 5 km             ,https://www.coches.com/km0/seminuevo-fiat-500-e-70kw-action-en-avila.htm?id=6354057
2342,Bmw Serie 1,8.800 €,120d,  Diesel,                              Madrid             ,                                  2012             ,                 236.050 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-120d-en-madrid.htm?id=6353549
2343,Bmw Serie 4,24.499 €,430dA Gran Coupé xDrive,  Diesel,                              Jaen             ,                                  2015             ,                 39.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+4-430da-gran-coupe-xdrive-en-jaen.htm?id=6350779
2344,Abarth 595,21.690 €,Abarth F 1.4T-Jet 121kW,  Gasolina,                              Avila             ,                                  2021             ,                 5 km             ,https://www.coches.com/km0/seminuevo-abarth-595-abarth-f-14t-jet-121kw-en-avila.htm?id=6348717
2345,Hyundai Kona,20.900 €, HEV 1.6 GDI DT Maxx,  Híbrido,                              Lleida             ,                                  2021             ,                 5.000 km             ,https://www.coches.com/km0/seminuevo-hyundai-kona-hev-16-gdi-dt-maxx-en-lleida.htm?id=6347083
2346,Opel Mokka,20.500 €, 1.2T S&S GS Line 130,  Gasolina,                              Alava             ,                                  2021             ,                 2 km             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-gs-line-130-en-alava.htm?id=6342201
2347,Mini Mini,29.600 €, Cooper SE,  Eléctrico,                              Pontevedra             ,                                  2021             ,                 22.650 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-se-en-pontevedra.htm?id=6339155
2348,Mercedes Clase CLA,52.635 €,CLA Shooting Brake 250e 8G-DCT,  Híbrido,                              Madrid             ,                                  2021             ,                 3 km             ,https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-shooting-brake-250e-8g-dct-en-madrid.htm?id=6336481
2349,Kia Ceed,14.900 €, 1.0 T-GDI Eco-Dynamics Concept 120,  Gasolina,                              Barcelona             ,                                  2021             ,                 15.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-10-t-gdi-eco-dynamics-concept-120-en-barcelona.htm?id=6331599
2350,Hyundai Tucson,24.490 €, 1.6 TGDI Klass 4x2,  Gasolina,                              Burgos             ,                                  2022             ,                 4 km             ,https://www.coches.com/km0/seminuevo-hyundai-tucson-16-tgdi-klass-4x2-en-burgos.htm?id=6330669
2351,Kia Ceed,4.650 €,Cee´d 1.6CRDI Concept Plus,  Diesel,                              Madrid             ,                                  2012             ,                 254.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-ceed-16crdi-concept-plus-en-madrid.htm?id=6329441
2352,Kia Niro,28.090 €,E- Drive Long Range,  Eléctrico,                              Vizcaya             ,                                  2020             ,                 350 km             ,https://www.coches.com/km0/seminuevo-kia-niro-e--drive-long-range-en-vizcaya.htm?id=6325637
2353,Hyundai Santa Fe,42.050 €, 1.6TGDI HEV Klass 7pl 2WD 6AT,  Híbrido,                              Burgos             ,                                  2022             ,                 4 km             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-hev-klass-7pl-2wd-6at-en-burgos.htm?id=6324783
2354,Hyundai Santa Fe,38.350 €, 1.6TGDI HEV Klass 7pl 2WD 6AT,  Híbrido,                              Burgos             ,                                  2022             ,                 60 km             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-hev-klass-7pl-2wd-6at-en-burgos.htm?id=6324775
2355,Hyundai Santa Fe,42.050 €, 1.6TGDI HEV Maxx 7pl 2WD 6AT,  Híbrido,                              Burgos             ,                                  2022             ,                 4 km             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-hev-maxx-7pl-2wd-6at-en-burgos.htm?id=6324683
2356,Hyundai Santa Fe,38.350 €, 1.6TGDI HEV Klass 7pl 2WD 6AT,  Híbrido,                              Burgos             ,                                  2022             ,                 60 km             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-hev-klass-7pl-2wd-6at-en-burgos.htm?id=6324491
2357,Hyundai Santa Fe,35.990 €, 2.2CRDi Klass 2WD 8DCT,  Diesel,                              Burgos             ,                                  2022             ,                 4 km             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-22crdi-klass-2wd-8dct-en-burgos.htm?id=6323815
2358,Hyundai Santa Fe,35.990 €, 2.2CRDi Klass 2WD 8DCT,  Diesel,                              Burgos             ,                                  2022             ,                 4 km             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-22crdi-klass-2wd-8dct-en-burgos.htm?id=6322099
2359,Citroen C5,3.990 €, 1.8i S,  Gasolina,                              Madrid             ,                                  2008             ,                 200.801 km             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5-18i-s-en-madrid.htm?id=6321331
2360,                 Mazda MX-5  ST 1.5 Skyactiv-G             ,18.495 €, Gasolina, 132 cv,                 24.900 km             ,"                  Palmas, Las             ",                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-5-st-15-skyactiv-g-evolution-en-palmas+las.htm?id=6320535
2361,                 Kia Ceed  1.0 T-GDI             ,14.300 €, Gasolina, 100 cv,                 5 km             ,                  Burgos             ,                  2022             ,https://www.coches.com/km0/seminuevo-kia-ceed-10-t-gdi-eco-dynamics-concept-100-en-burgos.htm?id=6320001
2362,                 Kia Ceed  1.0 T-GDI             ,14.300 €, Gasolina, 100 cv,                 5 km             ,                  Burgos             ,                  2022             ,https://www.coches.com/km0/seminuevo-kia-ceed-10-t-gdi-eco-dynamics-concept-100-en-burgos.htm?id=6319857
2363,                 Mercedes Clase C Estate 200d             ,17.500 €, Diesel, 160 cv,                 124.498 km             ,                  Pontevedra             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-200d-9g-tronic-en-pontevedra.htm?id=6317751
2364,                 Alfa Romeo 166  2.0 TS             ,2.300 €, Gasolina, 155 cv,                 218.328 km             ,                  Madrid             ,                  2000             ,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-166-20-ts-en-madrid.htm?id=6308437
2365,                 Ford Kuga  2.0 EcoBlue MEHV             ,24.500 €, Diesel, 150 cv,                 5.042 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/km0/seminuevo-ford-kuga-20-ecoblue-mehv-titanium-fwd-150-en-madrid.htm?id=6308181
2366,                 Opel Grandland  PHEV 1.6 Turbo             ,28.900 €, Híbrido, 225 cv,                 2.500 km             ,                  Burgos             ,                  2021             ,https://www.coches.com/km0/seminuevo-opel-grandland+x-phev-16-turbo-edition-at8-4x2-en-burgos.htm?id=6307185
2367,                 Opel Grandland  PHEV 1.6 Turbo             ,28.900 €, Híbrido, 225 cv,                 2.500 km             ,                  Burgos             ,                  2021             ,https://www.coches.com/km0/seminuevo-opel-grandland+x-phev-16-turbo-edition-at8-4x2-en-burgos.htm?id=6307147
2368,                 Dfsk F5  1.5T Classic 4x2 Aut             ,23.495 €, Gasolina, 137 cv,                 4.200 km             ,                  Burgos             ,                  2021             ,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-burgos.htm?id=6299553
2369,                 Opel Corsa -e GS Line +-e             ,20.900 €, Eléctrico, 136 cv,                 0 km             ,                  Burgos             ,                  2021             ,https://www.coches.com/km0/seminuevo-opel-corsa--e-gs-line-+-e-en-burgos.htm?id=6298471
2370,                 Hyundai i10  1.0 Klass             ,7.290 €, Gasolina, 66 cv,                 36.734 km             ,                  Madrid             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i10-10-klass-en-madrid.htm?id=6295633
2371,                 Invicta D2S  27kW             ,13.095 €, Eléctrico, 37 cv,                 3 km             ,                  Burgos             ,                  2021             ,https://www.coches.com/km0/seminuevo-invicta-d2s-27kw-en-burgos.htm?id=6288885
2372,                 Toyota Yaris  1.5 Active             ,10.500 €, Gasolina, 111 cv,                 62.200 km             ,                  Guadalajara             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-15-active-en-guadalajara.htm?id=6288427
2373,                 Citroen C4  Grand Picasso             ,14.000 €, Diesel, 150 cv,                 72.562 km             ,                  Sevilla             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-grand-picasso-20bluehdi-intensive-plus-en-sevilla.htm?id=6277845
2374,                 Audi A5  Sportback 40 TDI S             ,38.890 €, Diesel, 190 cv,                 335 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/km0/seminuevo-audi-a5-sportback-40-tdi-s-line-s-tronic-en-madrid.htm?id=6275305
2375,                 Infiniti G  37 T AT             ,23.200 €, Gasolina, 320 cv,                 58.167 km             ,                  Madrid             ,                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-g-37-t-at-en-madrid.htm?id=6274665
2376,                 Land Rover  2.0TD4 Pure 4WD             ,22.890 €, Diesel, 150 cv,                 76.347 km             ,                  Madrid             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-20td4-pure-4wd-aut-150-en-madrid.htm?id=6267569
2377,                 Toyota Yaris  120H Style             ,24.722 €, Híbrido, 116 cv,                 1 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-style-en-madrid.htm?id=6266835
2378,                 Toyota Yaris  120H Active Tech             ,23.140 €, Híbrido, 116 cv,                 1 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=6266829
2379,                 Toyota Yaris  120H Active Tech             ,22.865 €, Híbrido, 116 cv,                 1 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=6266827
2380,                 Audi A5  Sportback 40 TDI             ,38.890 €, Diesel, 190 cv,                 9.103 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/km0/seminuevo-audi-a5-sportback-40-tdi-black-line-s-tronic-en-madrid.htm?id=6261263
2381,                 Audi A6  4.2 quattro Tiptronic             ,5.500 €, Gasolina, 300 cv,                 187.000 km             ,                  Vizcaya             ,                  2002             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-42-quattro-tiptronic-en-vizcaya.htm?id=6259871
2382,                 Citroen C3  1.5BlueHDi S&S Feel             ,10.190 €, Diesel, 99 cv,                 43.259 km             ,                  Madrid             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-15bluehdi-s_s-feel-100-en-madrid.htm?id=6255989
2383,                 Peugeot 208  1.2 Puretech S&S             ,12.667 €, Gasolina, 75 cv,                 2 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-like-75-en-madrid.htm?id=6217995
2384,                 Toyota Yaris GR              ,33.900 €, Gasolina, 261 cv,                 5.800 km             ,                  Barcelona             ,                  2020             ,https://www.coches.com/km0/seminuevo-toyota-yaris-gr-en-barcelona.htm?id=6216141
2385,                 Ford Explorer  XLT 4x4 Aut.             ,4.600 €, Gasolina, 205 cv,                 148.589 km             ,                  Madrid             ,                  2000             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-explorer-xlt-4x4-aut-en-madrid.htm?id=6212613
2386,                 Bmw Serie 3 330iA             ,35.500 €, Gasolina, 258 cv,                 18.000 km             ,                  Girona             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-330ia-en-girona.htm?id=6203503
2387,                 Nissan Juke  1.0 DIG-T Acenta 4x2             ,18.900 €, Gasolina, 114 cv,                 7.400 km             ,                  Barcelona             ,                  2021             ,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-114-en-barcelona.htm?id=6198369
2388,                 Nissan Micra  1.5dCi S&S Visia+ 90             ,9.900 €, Diesel, 90 cv,                 13.300 km             ,                  Barcelona             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-15dci-s_s-visia+-90-en-barcelona.htm?id=6198363
2389,                 Bmw Z3  2.2i Roadster             ,14.700 €, Gasolina, 170 cv,                 183.368 km             ,                  Madrid             ,                  2002             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-22i-roadster-en-madrid.htm?id=6184969
2390,                 Dfsk Serie C  Pick Up Doble Cabina             ,15.800 €, Gasolina, 115 cv,                 150 km             ,                  Sevilla             ,                  2021             ,https://www.coches.com/km0/seminuevo-dfsk-serie+c-pick-up-doble-cabina-c32-15-en-sevilla.htm?id=6166887
2391,                 Mazda Mazda2  1.4CRTD Sportive             ,3.390 €, Diesel, 68 cv,                 259.000 km             ,                  Madrid             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda2-14crtd-sportive-en-madrid.htm?id=6158809
2392,                 Volkswagen  1.9TDI Comfortline             ,3.850 €, Diesel, 115 cv,                 264.000 km             ,                  Madrid             ,                  2002             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sharan-19tdi-comfortline-en-madrid.htm?id=6155119
2393,                 Nissan Qashqai  1.3 DIG-T mHEV 12V             ,26.900 €, Gasolina, 158 cv,                 13.000 km             ,                  Valencia             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-mhev-12v-tekna-+-4x2-aut-116kw-en-valencia.htm?id=6154983
2394,                 Mercedes Clase E Cabrio 300             ,41.890 €, Gasolina, 245 cv,                 96.711 km             ,                  Malaga             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-cabrio-300-9g-tronic-en-malaga.htm?id=6154717
2395,                 Hyundai Ioniq  HEV 1.6 GDI Klass             ,16.900 €, Híbrido, 141 cv,                 29.000 km             ,"                  Palmas, Las             ",                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ioniq-hev-16-gdi-klass-en-palmas+las.htm?id=6151993
2396,                 Audi A4  35 TDI Advanced S             ,27.500 €, Diesel, 163 cv,                 26.300 km             ,                  Castellon             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-35-tdi-advanced-s-tronic-120kw-en-castellon.htm?id=6144222
2397,                 Mini Mini  One D             ,14.990 €, Diesel, 95 cv,                 31.553 km             ,                  Cadiz             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-d-en-cadiz.htm?id=6119448
2398,                 Skoda Fabia  1.4 16v Elegance 100             ,3.900 €, Gasolina, 100 cv,                 225.000 km             ,                  Lleida             ,                  2000             ,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-14-16v-elegance-100-en-lleida.htm?id=6115214
2399,                 Ford Kuga  2.0 EcoBlue MEHV             ,26.045 €, Diesel, 150 cv,                 12.203 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20-ecoblue-mehv-st-line-x-fwd-150-en-madrid.htm?id=6114176
2400,Bmw Serie 1,18.495 €,118i,  Gasolina,                              Valencia             ,                                  2019             ,                 18.073 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-118i-en-valencia.htm?id=6107970
2401,Citroen C3 Aircro…,12.690 €, BlueHDi S&S Live 100,  Diesel,                              Toledo             ,                                  2019             ,                 25.081 km             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3+aircross-bluehdi-s_s-live-100-en-toledo.htm?id=6101444
2402,Bmw X2,27.750 €, xDrive 20dA,  Diesel,                              Alicante             ,                                  2018             ,                 78.033 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x2-xdrive-20da-en-alicante.htm?id=6088006
2403,Fiat Tipo,15.290 €, 1.0 Live,  Gasolina,                              Castellon             ,                                  2021             ,                 7.000 km             ,https://www.coches.com/km0/seminuevo-fiat-tipo-10-live-en-castellon.htm?id=6059490
