,modelo,precio,combustible,CV,km,lugar,año,link
1024,Abarth 595Abarth F 1.4T-Jet 121kW,21.690  ,  Gasolina,Unknown,                 5               ,                              Avila             ,                                  2021             ,https://www.coches.com/km0/seminuevo-abarth-595-abarth-f-14t-jet-121kw-en-avila.htm?id=6348717
1025,Hyundai Kona HEV 1.6 GDI DT Maxx,20.900  ,  Híbrido,Unknown,                 5.000               ,                              Lleida             ,                                  2021             ,https://www.coches.com/km0/seminuevo-hyundai-kona-hev-16-gdi-dt-maxx-en-lleida.htm?id=6347083
1026,Opel Mokka 1.2T S&S GS Line 130,20.500  ,  Gasolina,Unknown,                 2               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-gs-line-130-en-alava.htm?id=6342201
1027,Mini Mini Cooper SE,29.600  ,  Eléctrico,Unknown,                 22.650               ,                              Pontevedra             ,                                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-se-en-pontevedra.htm?id=6339155
1028,Mercedes Clase CLACLA Shooting Brake 250e 8G-DCT,52.635  ,  Híbrido,Unknown,                 3               ,                              Madrid             ,                                  2021             ,https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-shooting-brake-250e-8g-dct-en-madrid.htm?id=6336481
1029,Kia Ceed 1.0 T-GDI Eco-Dynamics Concept 120,14.900  ,  Gasolina,Unknown,                 15.000               ,                              Barcelona             ,                                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-10-t-gdi-eco-dynamics-concept-120-en-barcelona.htm?id=6331599
1030,Hyundai Tucson 1.6 TGDI Klass 4x2,24.490  ,  Gasolina,Unknown,                 4               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-tucson-16-tgdi-klass-4x2-en-burgos.htm?id=6330669
1031,Kia CeedCee´d 1.6CRDI Concept Plus,4.650  ,  Diesel,Unknown,                 254.000               ,                              Madrid             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-ceed-16crdi-concept-plus-en-madrid.htm?id=6329441
1032,Kia NiroE- Drive Long Range,28.090  ,  Eléctrico,Unknown,                 350               ,                              Vizcaya             ,                                  2020             ,https://www.coches.com/km0/seminuevo-kia-niro-e--drive-long-range-en-vizcaya.htm?id=6325637
1033,Hyundai Santa Fe 1.6TGDI HEV Klass 7pl 2WD 6AT,42.050  ,  Híbrido,Unknown,                 4               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-hev-klass-7pl-2wd-6at-en-burgos.htm?id=6324783
1034,Hyundai Santa Fe 1.6TGDI HEV Klass 7pl 2WD 6AT,38.350  ,  Híbrido,Unknown,                 60               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-hev-klass-7pl-2wd-6at-en-burgos.htm?id=6324775
1035,Hyundai Santa Fe 1.6TGDI HEV Maxx 7pl 2WD 6AT,42.050  ,  Híbrido,Unknown,                 4               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-hev-maxx-7pl-2wd-6at-en-burgos.htm?id=6324683
1036,Hyundai Santa Fe 1.6TGDI HEV Klass 7pl 2WD 6AT,38.350  ,  Híbrido,Unknown,                 60               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-hev-klass-7pl-2wd-6at-en-burgos.htm?id=6324491
1037,Hyundai Santa Fe 2.2CRDi Klass 2WD 8DCT,35.990  ,  Diesel,Unknown,                 4               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-22crdi-klass-2wd-8dct-en-burgos.htm?id=6323815
1038,Hyundai Santa Fe 2.2CRDi Klass 2WD 8DCT,35.990  ,  Diesel,Unknown,                 4               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-22crdi-klass-2wd-8dct-en-burgos.htm?id=6322099
1039,Citroen C5 1.8i S,3.990  ,  Gasolina,Unknown,                 200.801               ,                              Madrid             ,                                  2008             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5-18i-s-en-madrid.htm?id=6321331
1040,Bmw Serie 1118i,18.495  ,  Gasolina,Unknown,                 18.073               ,                              Valencia             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-118i-en-valencia.htm?id=6107970
