,modelo,precio,combustible,CV,km,lugar,año,link
1714,Audi A7 Sportback 3.0TDI quattro S-Tronic 200kW,29.900  ,  Diesel,Unknown,                 115.495               ,                              Madrid             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a7-sportback-30tdi-quattro-s-tronic-200kw-en-madrid.htm?id=6499723
1715,Citroen C4 1.2 PureTech Feel Pack S&S EAT8 130,19.599  ,  Gasolina,Unknown,                 2               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-citroen-c4-12-puretech-feel-pack-s_s-eat8-130-en-alava.htm?id=6499265
1716,Citroen C4 1.2 PureTech Feel Pack S&S EAT8 130,19.599  ,  Gasolina,Unknown,                 2               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-citroen-c4-12-puretech-feel-pack-s_s-eat8-130-en-alava.htm?id=6499207
1717,Opel Insignia 1.5D DVH S&S Business Edition 122,24.481  ,  Diesel,Unknown,                 2               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-insignia-15d-dvh-s_s-business-edition-122-en-alava.htm?id=6499053
1718,Citroen C5 Aircro… BlueHDi S&S Feel 130,23.500  ,  Diesel,Unknown,                 49.002               ,                              Granada             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-feel-130-en-granada.htm?id=6498707
1719,Bmw Serie 1120d,6.490  ,  Diesel,Unknown,                 192.500               ,                              Castellon             ,                                  2009             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-120d-en-castellon.htm?id=6498173
1720,Skoda Kodiaq 2.0TDI AB tech Style 4x2 DSG 110kW,26.000  ,  Diesel,Unknown,                 48.517               ,                              Granada             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20tdi-ab-tech-style-4x2-dsg-110kw-en-granada.htm?id=6458972
1721,Volkswagen Passat 1.9TDI Highline 110,1.700  ,  Diesel,Unknown,                 250.000               ,                              Malaga             ,                                  1998             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-19tdi-highline-110-en-malaga.htm?id=6458882
1722,Cupra Formentor 1.5 TSI 150 DSG,28.500  ,  Gasolina,Unknown,                 2.356               ,                              Almeria             ,                                  2021             ,https://www.coches.com/km0/seminuevo-cupra-formentor-15-tsi-150-dsg-en-almeria.htm?id=6457629
1723,Mercedes Clase EE 250 BT,19.975  ,  Diesel,Unknown,                 27.500               ,                              Barcelona             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-250-bt-en-barcelona.htm?id=6456856
1724,Peugeot 206+ 1.4HDI,3.800  ,  Diesel,Unknown,                 238.563               ,                              Madrid             ,                                  2009             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-206-+-14hdi-en-madrid.htm?id=6455854
1725,Audi A4 Avant 40 TFSI S line S tronic 150kW,33.990  ,  Gasolina,Unknown,                 4.000               ,                              Valencia             ,                                  2021             ,https://www.coches.com/km0/seminuevo-audi-a4-avant-40-tfsi-s-line-s-tronic-150kw-en-valencia.htm?id=6455620
1726,Seat Ateca 1.5 EcoTSI S&S Style,19.400  ,  Gasolina,Unknown,                 48.659               ,                              Barcelona             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-en-barcelona.htm?id=6455594
1727,Citroen Berlingo Furgón 1.6HDi 75,5.980  ,  Diesel,Unknown,                 124.000               ,                              Barcelona             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-furgon-16hdi-75-en-barcelona.htm?id=6451768
1728,Opel Grandland X 2.0CDTi S&S Ultimate AT8 180,23.773  ,  Diesel,Unknown,                 35.100               ,                              Madrid             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-grandland+x-20cdti-s_s-ultimate-at8-180-en-madrid.htm?id=6449334
1729,Mercedes Clase EE 220CDI BE,16.300  ,  Diesel,Unknown,                 125.181               ,                              Madrid             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-220cdi-be-en-madrid.htm?id=6449320
1730,Volkswagen Tiguan 1.5 TSI Life 96kW,27.000  ,  Gasolina,Unknown,                 7.500               ,                              Castellon             ,                                  2021             ,https://www.coches.com/km0/seminuevo-volkswagen-tiguan-15-tsi-life-96kw-en-castellon.htm?id=6449302
1731,Lexus RX 450h Eco,41.990  ,  Híbrido,Unknown,                 21.000               ,                              Vizcaya             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-eco-en-vizcaya.htm?id=6447951
1732,Ford Transit Conn…FT 220 Van L1 S&S Trend (carga aumentada) 120,10.600  ,  Diesel,Unknown,                 124.135               ,                              Madrid             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-220-van-l1-s_s-trend-carga-aumentada-120-en-madrid.htm?id=6447895
1733,Audi A1 1.2 TFSI Ambition,10.450  ,  Gasolina,Unknown,                 81.079               ,                              Madrid             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-12-tfsi-ambition-en-madrid.htm?id=6447155
1734,Chrysler Stratus 2.5 LX,2.200  ,  Gasolina,Unknown,                 163.000               ,                              Salamanca             ,                                  1997             ,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-stratus-25-lx-en-salamanca.htm?id=6444149
1735,Mazda CX-30 2.0 Skyactiv-G Evolution 2WD 90kW,23.500  ,  Gasolina,Unknown,                 7.725               ,                              Madrid             ,                                  2021             ,https://www.coches.com/km0/seminuevo-mazda-cx-30-20-skyactiv-g-evolution-2wd-90kw-en-madrid.htm?id=6442809
1736,Opel Corsa 1.3CDTI Selective 75,4.980  ,  Diesel,Unknown,                 169.000               ,                              Barcelona             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-13cdti-selective-75-en-barcelona.htm?id=6439501
1737,Audi A3 Sedán 35 TFSI Black line,27.591  ,  Gasolina,Unknown,                 31.016               ,                              Barcelona             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sedan-35-tfsi-black-line-en-barcelona.htm?id=6439363
1738,Hyundai Kona EV Style 150kW,30.900  ,  Eléctrico,Unknown,                 36.359               ,                              Madrid             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-style-150kw-en-madrid.htm?id=6435325
1739,Bmw Serie 3335i Coupé,14.900  ,  Gasolina,Unknown,                 179.975               ,                              Madrid             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-335i-coupe-en-madrid.htm?id=6434659
1740,Bmw X2 sDrive 18dA,26.890  ,  Diesel,Unknown,                 56.700               ,                              Malaga             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x2-sdrive-18da-en-malaga.htm?id=6399641
1741,Citroen Berlingo Furgón Electric,10.990  ,  Eléctrico,Unknown,                 4.000               ,"                              Palmas, Las             ",                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-furgon-electric-en-palmas+las.htm?id=6395797
1742,Hyundai Tucson 1.6 TGDI HEV Tecno Sky AT,28.990  ,  Híbrido,Unknown,                 13.980               ,                              Jaen             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16-tgdi-hev-tecno-sky-at-en-jaen.htm?id=6394699
1743,Renault Kangoo Combi 1.5dCi En. Prof. M1-AF 55kW,4.980  ,  Diesel,Unknown,                 194.000               ,                              Barcelona             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-combi-15dci-en-prof-m1-af-55kw-en-barcelona.htm?id=6391471
1744,Bmw Serie 6650iA Cabrio,27.900  ,  Gasolina,Unknown,                 80.024               ,                              Madrid             ,                                  2011             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-650ia-cabrio-en-madrid.htm?id=6390593
1745,Mercedes Clase GLEGLE 250d 4Matic Aut.,35.490  ,  Diesel,Unknown,                 67.141               ,                              Madrid             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gle-gle-250d-4matic-aut-en-madrid.htm?id=6390047
1746,Peugeot 208 1.2 Puretech S&S Active 100,15.990  ,  Gasolina,Unknown,                 6.610               ,                              Madrid             ,                                  2020             ,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-active-100-en-madrid.htm?id=6389631
1747,Peugeot 208 1.2 Puretech S&S Active 100,15.990  ,  Gasolina,Unknown,                 6.610               ,                              Madrid             ,                                  2020             ,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-active-100-en-madrid.htm?id=6389609
1748,Peugeot 208 1.2 Puretech S&S Active 100,15.990  ,  Gasolina,Unknown,                 6.610               ,                              Madrid             ,                                  2020             ,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-active-100-en-madrid.htm?id=6389517
1749,Volkswagen Golf 2.0 TFSI GTI DSG,7.500  ,  Gasolina,Unknown,                 200.000               ,                              Almeria             ,                                  2005             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tfsi-gti-dsg-en-almeria.htm?id=6384119
1750,Fiat Scudo Chasis Plancher 12 C.L 2.0Mjt 130 E5,9.800  ,  Diesel,Unknown,                 238.000               ,                              Albacete             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-chasis-plancher-12-cl-20mjt-130-e5-en-albacete.htm?id=6382697
1751,Volkswagen Beetle 1.6TDI Design 105,11.990  ,  Diesel,Unknown,                 116.000               ,                              Guipuzcoa             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-beetle-16tdi-design-105-en-guipuzcoa.htm?id=6381385
1752,Smart Forfour Electric Drive,11.850  ,  Eléctrico,Unknown,                 34.510               ,                              Madrid             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-electric-drive-en-madrid.htm?id=6380801
1753,Seat Ateca 1.0 TSI S&S Style,15.875  ,  Gasolina,Unknown,                 94.000               ,                              Valencia             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-10-tsi-s_s-style-en-valencia.htm?id=6379259
1754,Bmw Serie 2216d Gran Tourer,14.950  ,  Diesel,Unknown,                 99.680               ,                              Madrid             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+2-216d-gran-tourer-en-madrid.htm?id=6372427
1755,Nissan Juke 1.0 DIG-T Acenta 4x2 DCT 7 114,21.500  ,  Gasolina,Unknown,                 9.719               ,                              Alicante             ,                                  2021             ,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-dct-7-114-en-alicante.htm?id=6372107
1756,Nissan Juke 1.0 DIG-T Acenta 4x2 DCT 7 114,21.500  ,  Gasolina,Unknown,                 9.719               ,                              Alicante             ,                                  2021             ,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-dct-7-114-en-alicante.htm?id=6372103
1757,Nissan Juke 1.0 DIG-T Acenta 4x2 DCT 7 114,21.500  ,  Gasolina,Unknown,                 9.719               ,                              Alicante             ,                                  2021             ,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-dct-7-114-en-alicante.htm?id=6372099
1758,Bmw Serie 3318dA Touring,14.890  ,  Diesel,Unknown,                 165.989               ,                              Madrid             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318da-touring-en-madrid.htm?id=6371665
1759,Volvo V90 Cross C… B5 Pro AWD Aut.,77.500  ,  Diesel,Unknown,                 4               ,                              Madrid             ,                                  2021             ,https://www.coches.com/km0/seminuevo-volvo-v90+cross+country-b5-pro-awd-aut-en-madrid.htm?id=6369845
1760,Bmw Serie 3318d,34.990  ,  Diesel,Unknown,                 23.000               ,                              Cadiz             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318d-en-cadiz.htm?id=6851239
1761,Mercedes Clase AA 180d 7G-DCT,27.500  ,  Diesel,Unknown,                 122.000               ,                              Valencia             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-valencia.htm?id=6851231
1762,Renault Mégane 1.3 TCe GPF Limited EDC 103kW,19.100  ,  Gasolina,Unknown,                 30.964               ,                              Madrid             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-13-tce-gpf-limited-edc-103kw-en-madrid.htm?id=6851225
1763,Volkswagen Touran 1.6TDI Edition BMT 105,11.890  ,  Diesel,Unknown,                 210.450               ,                              Alicante             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-touran-16tdi-edition-bmt-105-en-alicante.htm?id=6851221
1764,Maserati Ghibli Diesel Aut. 275,37.900  ,  Diesel,Unknown,                 68.000               ,                              Valencia             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-aut-275-en-valencia.htm?id=6851215
1765,Volvo XC90 D5 R-Design C AWD 235 Aut.,43.990  ,  Diesel,Unknown,                 69.752               ,                              Madrid             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc90-d5-r-design-c-awd-235-aut-en-madrid.htm?id=6851211
1766,Volkswagen Golf 1.6TDI CR BMT Sport DSG 110,19.000  ,  Diesel,Unknown,                 94.875               ,                              Madrid             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-bmt-sport-dsg-110-en-madrid.htm?id=6851209
1767,Audi A3 Sportback 1.6TDI CD Advanced,16.900  ,  Diesel,Unknown,                 116.000               ,                              Badajoz             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sportback-16tdi-cd-advanced-en-badajoz.htm?id=6851205
1768,Bmw Serie 3325d,8.900  ,  Diesel,Unknown,                 220.000               ,                              Lleida             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-325d-en-lleida.htm?id=6851137
1769,Dacia Sandero 1.5dCi Stepway 90,8.490  ,  Diesel,Unknown,                 132.500               ,                              Pontevedra             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-dacia-sandero-15dci-stepway-90-en-pontevedra.htm?id=6849549
1770,Mazda Mazda5 2.0CRTD Sportive 143,4.590  ,  Diesel,Unknown,                 249.800               ,                              Castellon             ,                                  2009             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda5-20crtd-sportive-143-en-castellon.htm?id=6849545
1771,Hyundai i30 1.6 Style,6.995  ,  Gasolina,Unknown,                 112.000               ,                              Tarragona             ,                                  2010             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16-style-en-tarragona.htm?id=6849541
1772,Seat Altea 1.6TDI CR S&S I-Tech E-Ecom Last Ed.,7.900  ,  Diesel,Unknown,                 133.000               ,                              Sevilla             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-16tdi-cr-s_s-i-tech-e-ecom-last-ed-en-sevilla.htm?id=6849511
1773,Mercedes Clase SS 320 CDI Aut.,9.990  ,  Diesel,Unknown,                 228.000               ,                              Alicante             ,                                  2002             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+s-s-320-cdi-aut-en-alicante.htm?id=6849507
1774,Hyundai i10 1.0 MPI Klass,12.750  ,  Gasolina,Unknown,                 4               ,                              Segovia             ,                                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-i10-10-mpi-klass-en-segovia.htm?id=6849505
1775,Opel Grandland X 1.6CDTi S&S Selective 120,19.450  ,  Diesel,Unknown,                 128.727               ,                              Sevilla             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-grandland+x-16cdti-s_s-selective-120-en-sevilla.htm?id=6849497
1776,Ford Transit Van Trend 130,22.900  ,  Diesel,Unknown,                 139.790               ,                              Barcelona             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-130-en-barcelona.htm?id=6849491
1777,Opel Crossland X 1.6T Selective 99,17.750  ,  Diesel,Unknown,                 20.239               ,                              Sevilla             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-crossland-x-16t-selective-99-en-sevilla.htm?id=6849489
1778,Mini Mini One,19.900  ,  Gasolina,Unknown,                 22.373               ,                              Granada             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-granada.htm?id=6849483
1779,Renault Trafic Furgón 29 L2H1 dCi 70kW,16.107  ,  Diesel,Unknown,                 111.902               ,                              Sevilla             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-70kw-en-sevilla.htm?id=6849481
1780,Mercedes Clase EE Coupé 220d 9G-Tronic,45.990  ,  Diesel,Unknown,                 69.000               ,                              Pontevedra             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-coupe-220d-9g-tronic-en-pontevedra.htm?id=6849471
1781,Renault Trafic Furgón 29 L2H1 dCi 70kW,16.107  ,  Diesel,Unknown,                 106.871               ,                              Sevilla             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-70kw-en-sevilla.htm?id=6849467
1782,Mitsubishi ASX 200DI-D Kaiteki 4WD,12.490  ,  Diesel,Unknown,                 115.000               ,                              Zaragoza             ,                                  2010             ,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-200di-d-kaiteki-4wd-en-zaragoza.htm?id=6849457
1783,Mazda CX-5 2.2DE Style + Navegador 2WD,18.990  ,  Diesel,Unknown,                 62.000               ,                              Zaragoza             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-22de-style-+-navegador-2wd-en-zaragoza.htm?id=6849453
1784,Toyota YarisGR ,32.990  ,  Gasolina,Unknown,                 4.100               ,                              Barcelona             ,                                  2021             ,https://www.coches.com/km0/seminuevo-toyota-yaris-gr-en-barcelona.htm?id=6849449
1785,Renault Trafic Furgón 29 L2H1 dCi 70kW,16.107  ,  Diesel,Unknown,                 113.988               ,                              Sevilla             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-70kw-en-sevilla.htm?id=6849445
1786,Land Rover Discov… 2.0TD4 Pure 4x4 Aut. 180,23.990  ,  Diesel,Unknown,                 160.000               ,                              Sevilla             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20td4-pure-4x4-aut-180-en-sevilla.htm?id=6849443
1787,Citroen C4 Grand Picasso 1.6VTi First 5pl.,9.600  ,  Gasolina,Unknown,                 53.855               ,                              Granada             ,                                  2011             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-grand-picasso-16vti-first-5pl-en-granada.htm?id=6849439
1788,Mercedes Clase VV 250d Largo 7G Tronic,44.500  ,  Diesel,Unknown,                 120.000               ,                              Madrid             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-250d-largo-7g-tronic-en-madrid.htm?id=6849433
1789,Bmw Serie 1116d,12.300  ,  Diesel,Unknown,                 84.342               ,                              Granada             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-116d-en-granada.htm?id=6849421
1790,Toyota Auris 120T Active,12.500  ,  Gasolina,Unknown,                 65.796               ,                              Valencia             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-120t-active-en-valencia.htm?id=6849419
1791,Renault Kadjar 1.5dCi Energy Zen 81kW,15.950  ,  Diesel,Unknown,                 102.540               ,                              Sevilla             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-energy-zen-81kw-en-sevilla.htm?id=6849415
1792,Audi A4 Allroad 2.0TFSI S-Tronic,16.990  ,  Gasolina,Unknown,                 110.000               ,                              Zaragoza             ,                                  2010             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a4+allroad-20tfsi-s-tronic-en-zaragoza.htm?id=6849411
1793,Chevrolet Spark 1.0 16v,5.900  ,  Gasolina,Unknown,                 78.249               ,                              Granada             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-spark-10-16v-en-granada.htm?id=6849409
1794,Ford Fiesta 1.6 Sport,8.750  ,  Gasolina,Unknown,                 165.990               ,                              Madrid             ,                                  2011             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-16-sport-en-madrid.htm?id=6849405
1795,Seat Ateca 1.6TDI CR S&S Ecomotive Style,20.990  ,  Diesel,Unknown,                 46.000               ,                              Zaragoza             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-16tdi-cr-s_s-ecomotive-style-en-zaragoza.htm?id=6849403
1796,Bmw Serie 3320dA Touring xDrive,22.500  ,  Diesel,Unknown,                 120.000               ,                              Madrid             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-320da-touring-xdrive-en-madrid.htm?id=6849401
1797,Peugeot 508 2.0HDI Allure 140,7.490  ,  Diesel,Unknown,                 243.000               ,                              Tarragona             ,                                  2011             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-508-20hdi-allure-140-en-tarragona.htm?id=6849399
1798,Volkswagen Golf 2.0 TSI GTI Performance 230,21.000  ,  Gasolina,Unknown,                 141.632               ,                              Madrid             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-performance-230-en-madrid.htm?id=6849397
1799,Volkswagen Tiguan 2.0TDI +Motion,13.990  ,  Diesel,Unknown,                 75.000               ,"                              Palmas, Las             ",                                  2011             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-20tdi-+motion-en-palmas+las.htm?id=6849395
1800,Volkswagen Passat 2.0TDI Advance,7.999  ,  Diesel,Unknown,                 155.533               ,                              Madrid             ,                                  2008             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-20tdi-advance-en-madrid.htm?id=6849381
1801,Nissan X-Trail 2.2Di Elegance,5.700  ,  Diesel,Unknown,                 207.000               ,                              Castellon             ,                                  2003             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-22di-elegance-en-castellon.htm?id=6849379
1802,Volkswagen Tiguan Allspace 2.0TDI Sport 4Motion 110kW,28.900  ,  Diesel,Unknown,                 124.000               ,                              Malaga             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-allspace-20tdi-sport-4motion-110kw-en-malaga.htm?id=6849377
1803,Seat León ST 1.5 TSI S&S Style 130,20.490  ,  Gasolina,Unknown,                 20.207               ,                              Madrid             ,                                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-15-tsi-s_s-style-130-en-madrid.htm?id=6849369
1804,Saab 9-3 1.9TiD Vector Sport 150,4.299  ,  Diesel,Unknown,                 193.287               ,                              Madrid             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-saab-9-3-19tid-vector-sport-150-en-madrid.htm?id=6849367
1805,Renault Mégane 1.6 Confort Dynamique,2.600  ,  Gasolina,Unknown,                 166.877               ,                              Madrid             ,                                  2004             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-16-confort-dynamique-en-madrid.htm?id=6849361
1806,Ford Puma 1.0 EcoBoost MHEV ST-Line X 155,23.900  ,  Gasolina,Unknown,                 12.000               ,                              Zaragoza             ,                                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-puma-10-ecoboost-mhev-st-line-x-155-en-zaragoza.htm?id=6849359
1807,Mercedes Clase CLSCLS Shooting Brake 350d Aut.,31.599  ,  Diesel,Unknown,                 121.788               ,                              Madrid             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-shooting-brake-350d-aut-en-madrid.htm?id=6849357
1808,Mercedes Clase CC 200CDI BE 7G Plus,14.950  ,  Diesel,Unknown,                 127.400               ,                              Cadiz             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-200cdi-be-7g-plus-en-cadiz.htm?id=6849353
1809,Jeep Compass 1.6 Mjt Limited 4x2,20.500  ,  Diesel,Unknown,                 71.552               ,                              Granada             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-16-mjt-limited-4x2-en-granada.htm?id=6849347
1810,Bmw Serie 3318dA Business,16.800  ,  Diesel,Unknown,                 123.000               ,                              Madrid             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318da-business-en-madrid.htm?id=6849339
1811,Audi A4 Avant 2.0TDI CD S line ed. 150 Mult.,18.500  ,  Diesel,Unknown,                 117.000               ,                              Sevilla             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-avant-20tdi-cd-s-line-ed-150-mult-en-sevilla.htm?id=6849337
1812,Volkswagen Caddy 2.0TDI Beach 75kW,18.500  ,  Diesel,Unknown,                 40.000               ,"                              Palmas, Las             ",                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-caddy-20tdi-beach-75kw-en-palmas+las.htm?id=6849333
1813,Citroen Xsara Picasso 1.6HDi SX 92,3.300  ,  Diesel,Unknown,                 230.900               ,                              Murcia             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-xsara-picasso-16hdi-sx-92-en-murcia.htm?id=6849331
1814,Volvo V40 D3 Kinetic 150,11.900  ,  Diesel,Unknown,                 181.000               ,                              Badajoz             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v40-d3-kinetic-150-en-badajoz.htm?id=6849325
1815,Opel Astra 1.6CDTi S/S Selective 110,11.990  ,  Diesel,Unknown,                 95.838               ,"                              Coruña, A             ",                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-16cdti-ss-selective-110-en-coruna+a.htm?id=6849319
1816,Seat León 1.6TDI CR Reference 90,13.300  ,  Diesel,Unknown,                 100.000               ,                              Sevilla             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-reference-90-en-sevilla.htm?id=6849313
1817,Chrysler 300C 3.0CRD Aut.,13.999  ,  Diesel,Unknown,                 21.000               ,                              Salamanca             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-300c-30crd-aut-en-salamanca.htm?id=6849311
1818,Citroen DS5 1.6e-HDi Style CMP 112,11.400  ,  Diesel,Unknown,                 81.699               ,                              Granada             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds5-16e-hdi-style-cmp-112-en-granada.htm?id=6849299
1819,Toyota Land Cruis… D-4D VX Aut.,38.500  ,  Diesel,Unknown,                 41.611               ,                              Valencia             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-land+cruiser-d-4d-vx-aut-en-valencia.htm?id=6849291
1820,Renault Zoe Intens 50 R110 80kW,26.100  ,  Eléctrico,Unknown,                 39.100               ,                              Madrid             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-intens-50-r110-80kw-en-madrid.htm?id=6849287
1821,Smart Forfour EQ,17.900  ,  Eléctrico,Unknown,                 4.665               ,                              Madrid             ,                                  2020             ,https://www.coches.com/km0/seminuevo-smart-forfour-eq-en-madrid.htm?id=6849283
