,index,modelo,precio,combustible,CV,km,lugar,año,link
2937,1917,                 Ford Transit FT 350 L2 Van Heavy             ,16.934 €, Diesel, 130 cv,                 96.000 km             ,                  Barcelona             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l2-van-heavy-duty-trend-130-en-barcelona.htm?id=6705272
2938,1918,                 Bmw X3  xDrive 20dA             ,23.990 €, Diesel, 190 cv,                 99.000 km             ,"                  Palmas, Las             ",                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x3-xdrive-20da-en-palmas+las.htm?id=6705200
2939,1919,                 Peugeot 3008  1.2 S&S PureTech             ,23.290 €, Gasolina, 130 cv,                 0 km             ,                  Sevilla             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-3008-12-s_s-puretech-active-pack-130-en-sevilla.htm?id=6704432
2940,1960,                 Fiat Qubo QUBO 1.4 Easy             ,9.200 €, Gasolina, 77 cv,                 61.000 km             ,                  Vizcaya             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-qubo-qubo-14-easy-en-vizcaya.htm?id=6687132
2941,1961,                 Citroen C3  BlueHDi S&S Live             ,13.750 €, Diesel, 110 cv,                 2 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-bluehdi-s_s-live-pack-110-en-alava.htm?id=6686896
2942,1962,                 Citroen C3  BlueHDi S&S Live             ,13.750 €, Diesel, 110 cv,                 5 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-bluehdi-s_s-live-pack-110-en-alava.htm?id=6686892
2943,1963,                 Citroen C3  BlueHDi S&S Live             ,13.750 €, Diesel, 110 cv,                 4 km             ,                  Alava             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-bluehdi-s_s-live-pack-110-en-alava.htm?id=6686886
2944,1964,                 Nissan 350Z  Pack             ,17.450 €, Gasolina, 300 cv,                 111.242 km             ,                  Madrid             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-350z-pack-en-madrid.htm?id=6686584
2945,1965,                 Peugeot 308  1.2 PureTech S&S             ,19.500 €, Gasolina, 130 cv,                 4.250 km             ,                  Albacete             ,                  2021             ,https://www.coches.com/km0/seminuevo-peugeot-308-12-puretech-s_s-allure-pack-130-en-albacete.htm?id=6685656
2946,1966,                 Audi A5  Coupé 3.2 FSI             ,11.300 €, Gasolina, 265 cv,                 181.629 km             ,                  Madrid             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-coupe-32-fsi-multitronic-en-madrid.htm?id=6684240
