,index,modelo,precio,combustible,CV,km,lugar,año,link
15,75,Opel Astra 1.5D S/S GS Line 122,19.500 €,  Diesel,Unknown,                 10.682 km             ,                              Pontevedra             ,                                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-15d-ss-gs-line-122-en-pontevedra.htm?id=6831729
16,76,Nissan Navara 2.3dCi Doble Cabina Acenta,27.700 €,  Diesel,Unknown,                 1 km             ,                              Asturias             ,                                  2022             ,https://www.coches.com/km0/seminuevo-nissan-navara-23dci-doble-cabina-acenta-en-asturias.htm?id=6831687
17,77,Bmw X5 sDrive 25dA,35.900 €,  Diesel,Unknown,                 90.000 km             ,                              Madrid             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-sdrive-25da-en-madrid.htm?id=6828923
18,78,Bmw Serie 3320i Cabrio,17.900 €,  Gasolina,Unknown,                 134.000 km             ,                              Madrid             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-320i-cabrio-en-madrid.htm?id=6828557
19,79,Ford Ranger 2.0 Ecoblue DCb. Raptor 4x4 Aut. 213,36.990 €,  Diesel,Unknown,                 5 km             ,                              Valladolid             ,                                  2021             ,https://www.coches.com/km0/seminuevo-ford-ranger-20-ecoblue-dcb-raptor-4x4-aut-213-en-valladolid.htm?id=6827949
20,80,Volkswagen Passat 2.0TDI CR Advance,4.900 €,  Diesel,Unknown,                 275.000 km             ,                              Madrid             ,                                  2008             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-20tdi-cr-advance-en-madrid.htm?id=6831713
21,81,Nissan Micra IG-T Acenta 100,13.900 €,  Gasolina,Unknown,                 15.200 km             ,                              Asturias             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-asturias.htm?id=6831695
22,82,Volkswagen Golf 1.6TDI CR Sport 105,7.900 €,  Diesel,Unknown,                 189.000 km             ,                              Pontevedra             ,                                  2011             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-sport-105-en-pontevedra.htm?id=6829253
23,83,Nissan Qashqai 1.6dCi Tekna+ 4x2,26.900 €,  Diesel,Unknown,                 71.320 km             ,                              Valencia             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16dci-tekna+-4x2-en-valencia.htm?id=6829109
24,84,Bmw X5 sDrive 25dA,35.900 €,  Diesel,Unknown,                 90.000 km             ,                              Madrid             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-sdrive-25da-en-madrid.htm?id=6828923
25,85,Ford Focus 1.6TDCi Titanium 109,3.900 €,  Diesel,Unknown,                 190.000 km             ,                              Valencia             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-16tdci-titanium-109-en-valencia.htm?id=6828743
26,86,Mercedes Clase CC 250CDI BE Avantgarde 4M 7G Plus,16.900 €,  Diesel,Unknown,                 180.000 km             ,                              Madrid             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-250cdi-be-avantgarde-4m-7g-plus-en-madrid.htm?id=6828709
27,87,Seat León 1.5 TSI S&S FR 150,23.995 €,  Gasolina,Unknown,                 23.500 km             ,                              Murcia             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-15-tsi-s_s-fr-150-en-murcia.htm?id=6828561
